#,date,time,home,away,league,H,D,A
1,2 May,12:30,Blackburn Rovers,Leicester,England - Championship,2.2,3.7,3.25
2,2 May,12:30,Wrexham AFC,Middlesbrough FC,England - Championship,2.7,3.75,2.55
3,2 May,13:00,Villarreal,Levante,Spain - LaLiga,1.75,4.36,4.56
4,2 May,14:00,Udinese,FC Torino,Italy - Serie A,2.37,3.31,3.38
5,2 May,14:00,Nantes,Marseille,France - Ligue 1,4.45,4.15,1.8
6,2 May,14:30,Bayern Munich,Heidenheim,Germany - Bundesliga,1.26,7.67,10.21
7,2 May,14:30,Eintracht Frankfurt,Hamburger SV,Germany - Bundesliga,1.77,4.31,4.49
8,2 May,14:30,Hoffenheim,Stuttgart,Germany - Bundesliga,2.41,4.19,2.73
9,2 May,14:30,Union Berlin,Cologne,Germany - Bundesliga,2.54,3.42,2.99
10,2 May,14:30,Werder Bremen,Augsburg,Germany - Bundesliga,2.05,3.95,3.58
11,2 May,15:00,Brentford,West Ham,England - Premier League,1.94,4.0,3.92
12,2 May,15:00,Newcastle,Brighton,England - Premier League,2.64,3.74,2.67
13,2 May,15:00,Wolves,Sunderland AFC,England - Premier League,3.62,3.6,2.15
14,2 May,15:00,AFC Wimbledon,Huddersfield,England - League One,2.8,3.7,2.35
15,2 May,15:15,Valencia,Atletico Madrid,Spain - LaLiga,1.81,4.01,4.59
16,2 May,16:00,PSG,Lorient,France - Ligue 1,1.38,5.97,7.85
17,2 May,17:00,Como 1907,Napoli,Italy - Serie A,2.34,3.35,3.4
18,2 May,17:00,CSKA Moscow,FK Zenit Saint Pe...,Russia - Premier League,4.0,3.6,1.92
19,2 May,17:00,FC Slovan Liberec,Slavia Prague,Czechia - 1. Liga,4.6,3.75,1.74
20,2 May,17:30,Arsenal,Fulham,England - Premier League,1.47,4.8,7.62
21,2 May,17:30,Alaves,Athletic Bilbao,Spain - LaLiga,2.8,3.47,2.67
22,2 May,17:30,Bayer Leverkusen,RB Leipzig,Germany - Bundesliga,2.22,4.2,3.02
23,2 May,18:00,Metz,Monaco,France - Ligue 1,7.07,5.84,1.41
24,2 May,18:00,FC Famalicao,Benfica,Portugal - Liga Portugal,5.5,4.3,1.62
25,2 May,18:00,Fenerbahce Istanbul,Istanbul Basaksehir,Turkiye - Super Lig,1.68,4.5,4.8
26,2 May,19:00,Ajax,PSV Eindhoven,Netherlands - Eredivisie,2.5,4.2,2.55
27,2 May,19:00,Rodez Aveyron,Saint-Etienne,France - Ligue 2,3.3,3.6,2.1
28,2 May,19:30,Schalke,Fortuna D,Germany - 2. Bundesliga,1.57,4.5,5.25
29,2 May,19:30,Basel,FC Thun,Switzerland - Super League,2.6,3.8,2.4
30,2 May,19:45,Atalanta,Genoa,Italy - Serie A,1.6,4.37,5.98
31,2 May,20:00,Osasuna,Barcelona,Spain - LaLiga,4.77,4.15,1.76
32,2 May,20:05,Nice,RC Lens,France - Ligue 1,4.41,4.25,1.79
33,2 May,20:15,CA Central Cord...,Boca Juniors,Argentina - Primera LPF,4.25,2.95,1.91
34,2 May,20:30,Porto,Alverca Futebol,Portugal - Liga Portugal,1.21,7.25,15.0
35,2 May,22:30,SE Palmeiras SP,Santos FC SP,Brazil - Brasileiro Serie A,1.55,4.2,6.1
36,3 May,00:30,New York Red Bu...,FC Dallas,USA - MLS,2.15,3.9,3.25
37,3 May,03:30,Los Angeles Gala...,Vancouver White...,USA - MLS,3.3,4.0,2.1
38,3 May,11:30,Bologna,Cagliari,Italy - Serie A,1.86,3.64,4.83
39,3 May,12:00,Hibernian FC,Celtic,Scotland - Premiership,4.6,4.25,1.71
40,3 May,13:00,Celta,Elche CF,Spain - LaLiga,1.82,4.02,4.49
41,3 May,13:00,Malmo,Mjallby AIF,Sweden - Allsvenskan,2.3,3.4,3.1
42,3 May,13:30,Fortuna Sittard,Feyenoord Rotte...,Netherlands - Eredivisie,5.9,4.9,1.52
43,3 May,14:00,Bournemouth,Crystal Palace,England - Premier League,1.68,4.32,5.19
44,3 May,14:00,Sassuolo,Milan,Italy - Serie A,4.66,4.17,1.77
45,3 May,14:00,Lille,Le Havre,France - Ligue 1,1.44,4.96,8.0
46,3 May,14:30,FC St. Pauli,Mainz,Germany - Bundesliga,2.87,3.42,2.64
