HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,Date,League
Bodrumspor,Besiktas,0,4,A,4.2,3.75,1.75,2025-06-01,super_lig
Samsunspor,Kayserispor,2,1,H,1.75,3.75,4.33,2025-06-01,super_lig
Fenerbahce,Konyaspor,2,1,H,1.48,5.25,5.25,2025-05-31,super_lig
Rizespor,Hatayspor,5,2,H,1.44,5.0,5.75,2025-05-31,super_lig
Ad. Demirspor,Gaziantep,2,2,D,6.5,5.5,1.38,2025-05-31,super_lig
Alanyaspor,Sivasspor,2,0,H,1.85,3.8,3.7,2025-05-31,super_lig
Antalyaspor,Trabzonspor,0,2,A,2.75,3.4,2.45,2025-05-30,super_lig
Galatasaray,Buyuksehyr,2,0,H,1.7,4.75,3.9,2025-05-30,super_lig
Kasimpasa,Goztep,1,2,A,2.2,3.9,2.88,2025-05-30,super_lig
Hatayspor,Fenerbahce,4,2,H,9.0,6.5,1.22,2025-05-26,super_lig
Bournemouth,Leicester,2,0,H,1.33,5.25,8.5,2025-05-25,premier_league
Fulham,Man City,0,2,A,5.0,4.2,1.6,2025-05-25,premier_league
Ipswich,West Ham,1,3,A,3.0,3.8,2.2,2025-05-25,premier_league
Liverpool,Crystal Palace,1,1,D,1.4,6.0,5.75,2025-05-25,premier_league
Man United,Aston Villa,2,0,H,4.33,4.2,1.7,2025-05-25,premier_league
Newcastle,Everton,0,1,A,1.33,5.5,8.5,2025-05-25,premier_league
Nott'm Forest,Chelsea,0,1,A,3.0,3.75,2.2,2025-05-25,premier_league
Southampton,Arsenal,1,2,A,8.5,6.0,1.3,2025-05-25,premier_league
Tottenham,Brighton,1,4,A,4.2,4.33,1.7,2025-05-25,premier_league
Wolves,Brentford,1,1,D,2.7,3.7,2.45,2025-05-25,premier_league
Girona,Ath Madrid,0,4,A,3.8,3.75,1.91,2025-05-25,la_liga
Villarreal,Sevilla,4,2,H,1.48,5.0,6.0,2025-05-25,la_liga
Ath Bilbao,Barcelona,0,3,A,3.2,3.75,2.1,2025-05-25,la_liga
Atalanta,Parma,2,3,A,1.75,3.5,5.0,2025-05-25,serie_a
Empoli,Verona,1,2,A,1.95,3.2,4.33,2025-05-25,serie_a
Lazio,Lecce,0,1,A,1.53,3.7,7.5,2025-05-25,serie_a
Torino,Roma,0,2,A,5.5,4.2,1.57,2025-05-25,serie_a
Udinese,Fiorentina,2,3,A,3.7,3.6,2.0,2025-05-25,serie_a
Venezia,Juventus,2,3,A,5.75,4.33,1.53,2025-05-25,serie_a
Club Brugge,Antwerp,1,1,D,1.25,7.0,8.0,2025-05-25,pro_league
Genk,Anderlecht,2,1,H,1.95,3.6,3.6,2025-05-25,pro_league
St. Gilloise,Gent,3,1,H,1.17,7.5,13.0,2025-05-25,pro_league
Besiktas,Rizespor,1,2,A,1.45,4.33,6.0,2025-05-25,super_lig
Buyuksehyr,Ad. Demirspor,2,3,A,1.07,11.0,21.0,2025-05-25,super_lig
Kayserispor,Bodrumspor,1,1,D,3.5,3.4,2.0,2025-05-25,super_lig
Konyaspor,Alanyaspor,1,2,A,2.8,3.5,2.25,2025-05-25,super_lig
Trabzonspor,Samsunspor,2,2,D,2.25,3.5,2.8,2025-05-25,super_lig
Real Madrid,Sociedad,2,0,H,1.42,5.0,6.5,2025-05-24,la_liga
Espanol,Las Palmas,2,0,H,1.38,4.75,8.0,2025-05-24,la_liga
Leganes,Valladolid,3,0,H,1.3,5.5,9.5,2025-05-24,la_liga
Alaves,Osasuna,1,1,D,3.2,3.2,2.35,2025-05-24,la_liga
Getafe,Celta,1,2,A,4.1,3.75,1.85,2025-05-24,la_liga
Vallecano,Mallorca,0,0,D,1.53,4.2,6.25,2025-05-24,la_liga
Bologna,Genoa,1,3,A,1.5,4.5,6.0,2025-05-24,serie_a
Milan,Monza,2,0,H,1.22,7.0,11.0,2025-05-24,serie_a
Charleroi,Oud-Heverlee Leuven,2,1,H,1.62,4.1,4.75,2025-05-24,pro_league
Dender,Mechelen,2,2,D,3.3,3.75,2.0,2025-05-24,pro_league
Westerlo,Standard,0,0,D,1.65,4.2,4.5,2025-05-24,pro_league
Eyupspor,Antalyaspor,2,1,H,1.9,3.6,3.7,2025-05-24,super_lig
Gaziantep,Kasimpasa,2,2,D,2.6,3.7,2.38,2025-05-24,super_lig
Goztep,Galatasaray,0,2,A,3.7,4.5,1.7,2025-05-24,super_lig
Betis,Valencia,1,1,D,1.91,3.75,3.75,2025-05-23,la_liga
Como,Inter,0,2,A,5.0,4.2,1.65,2025-05-23,serie_a
Napoli,Cagliari,2,0,H,1.2,7.0,12.0,2025-05-23,serie_a
Crystal Palace,Wolves,4,2,H,2.25,3.3,3.2,2025-05-20,premier_league
Man City,Bournemouth,3,1,H,1.55,4.33,5.75,2025-05-20,premier_league
Brighton,Liverpool,3,2,H,2.6,3.75,2.45,2025-05-19,premier_league
Everton,Southampton,2,0,H,1.4,4.75,7.5,2025-05-18,premier_league
West Ham,Nott'm Forest,1,2,A,2.75,3.3,2.55,2025-05-18,premier_league
Brentford,Fulham,2,3,A,1.91,3.9,3.6,2025-05-18,premier_league
Leicester,Ipswich,2,0,H,2.3,3.6,2.9,2025-05-18,premier_league
Arsenal,Newcastle,1,0,H,1.95,3.7,3.7,2025-05-18,premier_league
Ath Madrid,Betis,4,1,H,1.91,3.6,3.8,2025-05-18,la_liga
Barcelona,Villarreal,2,3,A,1.83,4.1,3.75,2025-05-18,la_liga
Celta,Vallecano,1,2,A,1.75,3.9,4.33,2025-05-18,la_liga
Las Palmas,Leganes,0,1,A,2.9,3.5,2.35,2025-05-18,la_liga
Mallorca,Getafe,1,2,A,2.0,3.2,4.2,2025-05-18,la_liga
Osasuna,Espanol,2,0,H,1.8,3.3,4.75,2025-05-18,la_liga
Sevilla,Real Madrid,0,2,A,4.2,4.0,1.75,2025-05-18,la_liga
Sociedad,Girona,3,2,H,2.05,3.1,4.1,2025-05-18,la_liga
Valencia,Ath Bilbao,0,1,A,2.2,3.0,3.8,2025-05-18,la_liga
Valladolid,Alaves,0,1,A,6.0,3.75,1.6,2025-05-18,la_liga
Cagliari,Venezia,3,0,H,2.6,3.0,3.0,2025-05-18,serie_a
Fiorentina,Bologna,3,2,H,2.75,3.0,2.75,2025-05-18,serie_a
Inter,Lazio,2,2,D,1.62,4.2,5.0,2025-05-18,serie_a
Juventus,Udinese,2,0,H,1.38,4.75,8.5,2025-05-18,serie_a
Lecce,Torino,1,0,H,1.83,3.4,4.6,2025-05-18,serie_a
Monza,Empoli,1,3,A,5.0,3.6,1.73,2025-05-18,serie_a
Parma,Napoli,0,0,D,6.25,4.2,1.5,2025-05-18,serie_a
Roma,Milan,3,1,H,2.3,3.6,2.9,2025-05-18,serie_a
Verona,Como,1,1,D,3.5,3.3,2.15,2025-05-18,serie_a
Ajax,Twente,2,0,H,1.44,5.0,6.0,2025-05-18,eredivisie
AZ Alkmaar,Almere City,1,1,D,1.33,5.5,7.5,2025-05-18,eredivisie
For Sittard,Utrecht,0,0,D,2.55,3.6,2.55,2025-05-18,eredivisie
Heerenveen,Feyenoord,2,0,H,3.0,4.0,2.1,2025-05-18,eredivisie
Heracles,Nijmegen,1,2,A,2.55,3.6,2.6,2025-05-18,eredivisie
NAC Breda,Willem II,1,1,D,1.85,3.5,4.1,2025-05-18,eredivisie
Sparta Rotterdam,PSV Eindhoven,1,3,A,8.0,6.5,1.29,2025-05-18,eredivisie
Waalwijk,Go Ahead Eagles,5,3,H,2.88,4.0,2.15,2025-05-18,eredivisie
Zwolle,Groningen,2,0,H,2.35,3.6,2.8,2025-05-18,eredivisie
Anderlecht,Club Brugge,1,3,A,4.5,3.9,1.7,2025-05-18,pro_league
Mechelen,Charleroi,1,1,D,2.35,3.5,2.88,2025-05-18,pro_league
Gent,Genk,1,4,A,3.75,3.9,1.85,2025-05-18,pro_league
Alanyaspor,Besiktas,1,1,D,3.4,3.7,1.95,2025-05-18,super_lig
Antalyaspor,Gaziantep,0,0,D,1.95,3.3,3.9,2025-05-18,super_lig
Bodrumspor,Trabzonspor,1,1,D,1.95,3.5,3.7,2025-05-18,super_lig
Fenerbahce,Eyupspor,2,1,H,1.22,6.0,11.0,2025-05-18,super_lig
Galatasaray,Kayserispor,3,0,H,1.18,7.0,12.0,2025-05-18,super_lig
Kasimpasa,Buyuksehyr,2,3,A,2.2,3.4,3.0,2025-05-18,super_lig
Rizespor,Goztep,6,3,H,1.91,3.7,3.5,2025-05-18,super_lig
Samsunspor,Sivasspor,1,0,H,1.8,3.6,4.2,2025-05-18,super_lig
Augsburg,Union Berlin,1,2,A,2.1,3.5,3.4,2025-05-17,bundesliga
Dortmund,Holstein Kiel,3,0,H,1.09,12.0,19.0,2025-05-17,bundesliga
Freiburg,Ein Frankfurt,1,3,A,2.35,3.7,2.8,2025-05-17,bundesliga
Heidenheim,Werder Bremen,1,4,A,2.3,3.8,2.75,2025-05-17,bundesliga
Hoffenheim,Bayern Munich,0,4,A,5.0,5.25,1.5,2025-05-17,bundesliga
Mainz,Leverkusen,2,2,D,2.15,3.9,3.0,2025-05-17,bundesliga
M'gladbach,Wolfsburg,0,1,A,2.2,4.2,2.8,2025-05-17,bundesliga
RB Leipzig,Stuttgart,2,3,A,2.0,4.2,3.2,2025-05-17,bundesliga
St Pauli,Bochum,0,2,A,1.67,4.2,4.5,2025-05-17,bundesliga
Genoa,Atalanta,2,3,A,4.5,3.9,1.75,2025-05-17,serie_a
Lens,Monaco,4,0,H,3.9,4.1,1.83,2025-05-17,ligue_1
Lille,Reims,2,1,H,1.38,4.75,8.5,2025-05-17,ligue_1
Lyon,Angers,2,0,H,1.29,6.0,9.0,2025-05-17,ligue_1
Marseille,Rennes,4,2,H,1.75,3.9,4.2,2025-05-17,ligue_1
Nantes,Montpellier,3,0,H,1.53,4.5,5.5,2025-05-17,ligue_1
Nice,Brest,6,0,H,1.48,4.5,6.5,2025-05-17,ligue_1
Paris SG,Auxerre,3,1,H,1.2,7.0,13.0,2025-05-17,ligue_1
St Etienne,Toulouse,2,3,A,1.95,4.2,3.25,2025-05-17,ligue_1
Strasbourg,Le Havre,2,3,A,1.57,4.75,5.0,2025-05-17,ligue_1
Standard,Dender,0,0,D,2.25,3.5,3.0,2025-05-17,pro_league
Antwerp,St. Gilloise,0,4,A,4.5,3.75,1.73,2025-05-17,pro_league
Arouca,Boavista,4,1,H,2.05,3.5,3.5,2025-05-17,primeira_liga
AVS,Moreirense,0,3,A,2.0,3.3,3.8,2025-05-17,primeira_liga
Estoril,Estrela,4,0,H,2.5,3.3,2.75,2025-05-17,primeira_liga
Farense,Santa Clara,1,2,A,2.75,3.0,2.75,2025-05-17,primeira_liga
Porto,Nacional,3,0,H,1.3,5.25,9.5,2025-05-17,primeira_liga
Sp Braga,Benfica,1,1,D,5.0,4.1,1.62,2025-05-17,primeira_liga
Sp Lisbon,Guimaraes,2,0,H,1.25,5.5,12.0,2025-05-17,primeira_liga
Ad. Demirspor,Hatayspor,0,5,A,3.2,4.5,1.85,2025-05-17,super_lig
Aston Villa,Tottenham,2,0,H,1.3,6.0,8.5,2025-05-16,premier_league
Chelsea,Man United,1,0,H,1.44,5.0,6.25,2025-05-16,premier_league
Oud-Heverlee Leuven,Westerlo,0,2,A,2.45,3.7,2.63,2025-05-16,pro_league
Famalicao,Casa Pia,2,1,H,1.9,3.5,3.9,2025-05-16,primeira_liga
Rio Ave,Gil Vicente,1,1,D,2.55,3.2,2.45,2025-05-16,primeira_liga
Vallecano,Betis,2,2,D,3.0,3.2,2.4,2025-05-15,la_liga
Osasuna,Ath Madrid,2,0,H,3.6,3.3,2.1,2025-05-15,la_liga
Espanol,Barcelona,0,2,A,9.0,5.75,1.3,2025-05-15,la_liga
Getafe,Ath Bilbao,0,2,A,3.2,2.75,2.63,2025-05-15,la_liga
Alaves,Valencia,1,0,H,2.1,3.1,3.7,2025-05-14,la_liga
