home_team,away_team,home_score,away_score,home_odds,away_odds,date,stadium,attendance,season,league,pitcher_home,pitcher_away,weather,runs,hits,errors
New York Mets,Chicago Cubs,3,5,1.95,1.95,2000-03-29,Tokyo Dome,,2000,MLB,,,,8,19,2
Chicago Cubs,New York Mets,1,5,1.95,1.95,2000-03-30,Tokyo Dome,,2000,MLB,,,,6,11,2
Cincinnati Reds,Milwaukee Brewers,3,3,1.95,1.95,2000-04-03,Cinergy Field,,2000,MLB,,,,6,12,2
New York Mets,San Diego Padres,2,1,1.95,1.95,2000-04-03,Shea Stadium,,2000,MLB,,,,3,9,1
Baltimore Orioles,Cleveland Indians,1,4,1.95,1.95,2000-04-03,Oriole Park at Camden Yards,,2000,MLB,,,,5,12,0
Texas Rangers,Chicago White Sox,10,4,1.95,1.95,2000-04-03,The Ballpark at Arlington,,2000,MLB,,,,14,21,3
Toronto Blue Jays,Kansas City Royals,5,4,1.95,1.95,2000-04-03,SkyDome,,2000,MLB,,,,9,17,1
Atlanta Braves,Colorado Rockies,2,0,1.95,1.95,2000-04-03,Turner Field,,2000,MLB,,,,2,13,0
St. Louis Cardinals,Chicago Cubs,7,1,1.95,1.95,2000-04-03,Busch Stadium I,,2000,MLB,,,,8,13,0
Montreal Expos,Los Angeles Dodgers,4,10,1.95,1.95,2000-04-03,Olympic Stadium,,2000,MLB,,,,14,18,5
Florida Marlins,San Francisco Giants,6,4,1.95,1.95,2000-04-03,Pro Player Stadium,,2000,MLB,,,,10,22,2
Minnesota Twins,Tampa Bay Devil Rays,0,7,1.95,1.95,2000-04-04,Hubert H. Humphrey Metrodome,,2000,MLB,,,,7,22,1
Oakland Athletics,Detroit Tigers,4,7,1.95,1.95,2000-04-04,Network Associates Coliseum,,2000,MLB,,,,11,15,2
Anaheim Angels,New York Yankees,2,3,1.95,1.95,2000-04-04,Edison International Field,,2000,MLB,,,,5,16,1
Montreal Expos,Los Angeles Dodgers,4,10,1.95,1.95,2000-04-04,Olympic Stadium,,2000,MLB,,,,14,23,2
