home_team,away_team,home_score,away_score,home_odds,away_odds,date,season,league,venue,attendance,over_under,home_rating,away_rating
Huskies,Knicks,66,68,1.95,1.95,1946-11-01,1947,NBA,Huskies,,,1300.0,1300.0
Stags,Knicks,63,47,2.04,1.96,1946-11-02,1947,NBA,Stags,,,1300.0,1306.7233
Falcons,Capitols,33,50,1.95,1.95,1946-11-02,1947,NBA,Falcons,,,1300.0,1300.0
Steamrollers,Celtics,59,53,1.95,1.95,1946-11-02,1947,NBA,Steamrollers,,,1300.0,1300.0
Bombers,Ironmen,56,51,1.95,1.95,1946-11-02,1947,NBA,Bombers,,,1300.0,1300.0
Rebels,Huskies,71,60,1.96,2.04,1946-11-03,1947,NBA,Rebels,,,1300.0,1293.2767
Ironmen,Capitols,56,71,2.16,1.87,1946-11-04,1947,NBA,Ironmen,,,1295.3092,1320.3811
Celtics,Stags,55,57,2.09,1.92,1946-11-05,1947,NBA,Celtics,,,1294.8458,1309.6521
Falcons,Bombers,49,53,2.16,1.87,1946-11-05,1947,NBA,Falcons,,,1279.6189,1304.6908
Warriors,Ironmen,81,75,1.88,2.14,1946-11-07,1947,NBA,Warriors,,,1300.0,1277.9456
Steamrollers,Stags,73,65,2.06,1.94,1946-11-07,1947,NBA,Steamrollers,,,1305.1542,1316.084
Bombers,Knicks,63,68,1.91,2.1,1946-11-07,1947,NBA,Bombers,,,1312.8473,1297.0712
Huskies,Falcons,73,71,1.92,2.09,1946-11-08,1947,NBA,Huskies,,,1286.1534,1271.4624
Stags,Huskies,62,54,1.89,2.13,1946-11-09,1947,NBA,Stags,,,1309.735,1289.1691
Falcons,Celtics,69,46,2.12,1.89,1946-11-09,1947,NBA,Falcons,,,1268.4468,1288.4139
Steamrollers,Ironmen,76,66,1.8,2.25,1946-11-09,1947,NBA,Steamrollers,,,1311.5032,1273.2786
Bombers,Capitols,70,69,2.22,1.82,1946-11-09,1947,NBA,Bombers,,,1302.5988,1337.7448
Rebels,Capitols,92,68,2.17,1.85,1946-11-10,1947,NBA,Rebels,,,1307.1233,1334.6112
Knicks,Stags,68,78,2.05,1.96,1946-11-11,1947,NBA,Knicks,,,1307.3197,1315.2522
